# R1/L1=shoulder_pitch  R2/L2=shoulder_roll  R3/L3=elbow_bend
instruction_number,servo_id,target_angle_degrees,speed_percent
1,R1,24.75,50
2,R2,-161.99,50
3,R3,90.00,50
4,R1,44.13,50
5,R2,-185.57,50
6,R3,62.75,50
7,R1,31.05,50
8,R2,-222.03,50
9,R3,87.35,50
10,R1,31.69,50
11,R2,-246.36,50
12,R3,86.20,50
13,R1,30.38,50
14,R2,-245.94,50
15,R3,88.55,50
16,R1,1.54,50
17,R2,-372.03,50
18,R3,90.00,50
19,R1,0.52,50
20,R2,-373.38,50
21,R3,90.00,50
22,R1,5.23,50
23,R2,-344.85,50
24,R3,90.00,50
25,R1,1.69,50
26,R2,-343.63,50
27,R3,90.00,50
28,R1,-35.44,50
29,R2,-188.52,50
30,R3,90.00,50
31,R1,-35.42,50
32,R2,-188.72,50
33,R3,90.00,50
34,R1,109.30,50
35,R2,-202.62,50
36,R3,90.00,50
37,R1,113.30,50
38,R2,-199.41,50
39,R3,90.00,50
40,R1,113.29,50
41,R2,-186.05,50
42,R3,90.00,50
43,L1,21.21,50
44,L2,181.19,50
45,L3,90.00,50
46,L1,5.99,50
47,L2,283.42,50
48,L3,90.00,50
49,L1,4.81,50
50,L2,284.35,50
51,L3,90.00,50
52,L1,6.48,50
53,L2,361.42,50
54,L3,90.00,50
55,L1,9.39,50
56,L2,351.56,50
57,L3,90.00,50
58,L1,5.23,50
59,L2,344.85,50
60,L3,90.00,50
61,L1,5.23,50
62,L2,344.85,50
63,L3,90.00,50
64,L1,5.23,50
65,L2,344.85,50
66,L3,90.00,50
67,L1,9.84,50
68,L2,345.98,50
69,L3,90.00,50
70,L1,109.25,50
71,L2,170.25,50
72,L3,90.00,50
73,L1,109.67,50
74,L2,169.62,50
75,L3,90.00,50
76,L1,125.43,50
77,L2,165.52,50
78,L3,84.24,50
79,L1,123.48,50
80,L2,165.79,50
81,L3,89.09,50
82,L1,-29.35,50
83,L2,204.21,50
84,L3,90.00,50
85,L1,-35.34,50
86,L2,189.14,50
87,L3,90.00,50
88,L1,-35.40,50
89,L2,188.86,50
90,L3,90.00,50
91,L1,-35.31,50
92,L2,187.69,50
93,L3,90.00,50
94,L1,-35.24,50
95,L2,187.56,50
96,L3,90.00,50
97,L1,-33.52,50
98,L2,186.53,50
99,L3,90.00,50
100,L1,-33.52,50
101,L2,186.53,50
102,L3,90.00,50
103,L1,-33.52,50
104,L2,186.53,50
105,L3,90.00,50
106,L1,-33.52,50
107,L2,186.53,50
108,L3,90.00,50
109,L1,63.34,50
110,L2,340.22,50
111,L3,90.00,50
112,L1,113.47,50
113,L2,187.67,50
114,L3,90.00,50
115,L1,112.47,50
116,L2,170.12,50
117,L3,90.00,50
118,L1,120.10,50
119,L2,166.76,50
120,L3,90.00,50
121,L1,41.13,50
122,L2,-11.91,50
123,L3,90.00,50
124,L1,-26.99,50
125,L2,-144.75,50
126,L3,90.00,50
127,L1,-27.80,50
128,L2,-149.14,50
129,L3,90.00,50
130,L1,-35.40,50
131,L2,-172.04,50
132,L3,90.00,50
133,L1,64.98,50
134,L2,-20.95,50
135,L3,90.00,50
136,L1,111.28,50
137,L2,-186.86,50
138,L3,90.00,50
139,L1,111.25,50
140,L2,-185.83,50
141,L3,90.00,50
142,L1,112.18,50
143,L2,-189.52,50
144,L3,90.00,50
145,L1,124.03,50
146,L2,-189.37,50
147,L3,90.00,50
148,L1,110.72,50
149,L2,-147.28,50
150,L3,90.00,50
151,L1,109.47,50
152,L2,-145.22,50
153,L3,90.00,50
154,L1,106.38,50
155,L2,-135.29,50
156,L3,73.60,50
157,L1,106.41,50
158,L2,-134.42,50
159,L3,71.55,50
160,L1,111.68,50
161,L2,-123.10,50
162,L3,40.37,50
